MIASTO
Abisynia
Abisynia Górska
Abram
Abramiki
Abramowice
Abramowice Kościelne
Abramowice Prywatne
Abramy
Abramów
Abramów-Kolonia
Abramówka
Achrymowce
Adama
Adamcowa
Adamczowice
Adamczycha
Adamczyki
Adamczykowa Rola
Adamek
Adamierz
Adamin
Adaminowo
Adaminów
Adamka
Adamki
Adamkowo
Adamkówka
Adamowa
Adamowa Góra
Adamowe Łączki
Adamowice
Adamowizna
Adamowo
Adamowo-Dozin
Adamowo-Leśnictwo
Adamowo-Osiedle
Adamowo-Zastawa
Adampol
Adamusy
Adamy
Adamów
Adamów Drwalewski
Adamów Rososki
Adamów-Kolonia
Adamów-Parcel
Adamów-Wieś
Adamówek
Adamówka
Adelin
Adelina
Adelinów
Adolfin
Adolfinów
Adolfowo
Adolfów
Adrianka
Adwokatowo
Afryka
Agatówka
Agnieszkowo
Agnieszkowo-Krzyżówki
Agnieszków
Agnopol
Agrafinówka
Akacyjki
Aksamitowizna
Aksamity
Aksmanice
Akwizgran
Albertowa
Albertowo
Albertowsko
Albertynowo
Albertów
Albertów-Cegielnia
Albertów-Folwark
Albigowa
Albinów
Albinów Duży
Albinów Mały
Albrechtówka
Alej Borowa
Alej Kaniowska
Aleja Czaniecka
Aleja Fabryczna
Aleksandria
Aleksandria Druga
Aleksandria Krzywowolska
Aleksandria Niedziałowska
Aleksandria Pierwsza
Aleksandrowice
Aleksandrowiec
Aleksandrowo
Aleksandrynów
Aleksandrów
Aleksandrów Czwarty
Aleksandrów Drugi
Aleksandrów Duży
Aleksandrów Kujawski
Aleksandrów Pierwszy
Aleksandrów Trzeci
Aleksandrów k. Wąsosza
Aleksandrów Łódzki
Aleksandrówek
Aleksandrówka
Aleksewo
Aleksicze
Aleksiejówka
Alfonsowo
Alfonsów
Alfredów
Alfredówka
Alin
Alinowo
Alinów
Alojzów
Alpy
Altain
Altana
Altanka
Altona
Alwa
Alwernia
Amalka
Amandów
Ambrożew
Ambrożew-Parcele
Ambrożów
Amelin
Ameliówka
Ameryczka
Ameryka
Ameryka Dzierżąska
Ameryka Północna
Ameryka Wschodnia
Amirowice
Anachów
Anapole
Anastazew
Anastazewo
Anastazów
Anatolin
Ancuty
Ancuty-Kolonia
Anczykówka
Andrespol
Andruszkowice
Andrychy
Andrychów
Andryjanki
Andryszów
Andrzejewo
Andrzejewo-Kolonie
Andrzejewo-Zarzecze
Andrzejki
Andrzejki-Tyszki
Andrzejpole
Andrzejów
Andrzejów Duranowski
Andrzejów-Osada
Andrzejówka
Andrzejówka-Kolonia
Andzin
Andziółówka
Anglity
Angowice
Anielew
Anielewo
Anielin
Anielin Górny
Anielin Rozniszewski
Anielin Swędowski
